name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvert · Ferme à 01:00",Casablanca,0661625110,+212661625110,https://thepremiumbarbershop.ma/,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.720795,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Ouvert · Ferme à 20:30",Casablanca,0522940650,0522940650,https://the99experience.com/,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721126,google_maps
Barber Shop Star Club,"Salon de coiffure · 16 Bd Abdellatif Ben Kaddour
Ouvert · Ferme à 01:00",Casablanca,060928410385,+21260928410385,https://myresa.ma/barberstarclub,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721368,google_maps
The First Barbershop maarif,"Barbier · 8 Rue Abou Abbas Sebti
Ouvert · Ferme à 23:00",Casablanca,0669619593,+212669619593,https://tr.ee/jQ_XQSbfut,4.8,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721387,google_maps
The BarberShop - Casablanca,"Barbier ·  · Angle Avenue Ahmed Charci Et Ali Abderrazzak Résidence Pavillon D’or
Ouvert · Ferme à 22:00",Casablanca,0673703737,+212673703737,https://www.kwipa.ma/casablanca/maarif/barber-shop-gentlemen-club,4.1,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721399,google_maps
The BARBER SHOP - CASABLANCA (STAR),"Barbier · 5 Rue Abou Zaid Addadoussi
Ouvert · Ferme à 22:00",Casablanca,0719914411026,+212719914411026,https://barberstarclub101.ma/reservation.php,4.8,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721462,google_maps
Barber shop casablanca COUPE KING ️ Barber shop Casablanca oulfa.The barbershop casablanca.La meilleure BarberShop,"Barbier · N, Sidi abderrahim quartier oulfa Rue 36 GH6
Ouvert · Ferme à 00:00",Casablanca,0713222324,+212713222324,https://instagram.com/coupe_king_casablanca?igshid=YmMyMTA2M2Y=,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721491,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvert · Ferme à 22:00",Casablanca,0691994002,+212691994002,,4.8,,,,80,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721517,google_maps
Fade O’clock,"Barbier · 88Rue des Écoles
Ouvert · Ferme à 21:30",Casablanca,061021293385,+21261021293385,https://fadeoclock.ma/,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721530,google_maps
Zero to one barbershop,"Salon de coiffure · 5 Av. Hassan Souktani
Ouvert · Ferme à 22:00",Casablanca,0673150040,+212673150040,,4.9,,,,80,Barbershop,OPERATIONAL,2026-06-29T14:55:10.721540,google_maps
