name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvert · Ferme à 01:00",Casablanca,0661625110,+212661625110,https://thepremiumbarbershop.ma/,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675398,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Ouvert · Ferme à 20:30",Casablanca,0522940650,0522940650,https://the99experience.com/,4.9,,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675467,google_maps
The First Barbershop maarif,"Barbier · 8 Rue Abou Abbas Sebti
Ouvert · Ferme à 23:00",Casablanca,0669619593,+212669619593,https://tr.ee/jQ_XQSbfut,4.8,,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675494,google_maps
The BarberShop - Casablanca,"Barbier ·  · Angle Avenue Ahmed Charci Et Ali Abderrazzak Résidence Pavillon D’or
Ouvert · Ferme à 22:00",Casablanca,0673703737,+212673703737,https://www.kwipa.ma/casablanca/maarif/barber-shop-gentlemen-club,4.1,,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675515,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvert · Ferme à 22:00",Casablanca,0691994002,+212691994002,,4.8,182,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675536,google_maps
Fade O’clock,"Salon de coiffure · 88Rue des Écoles
Ouvert · Ferme à 21:30",Casablanca,061021293385,+21261021293385,https://fadeoclock.ma/,4.9,73,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675558,google_maps
The BARBER SHOP - CASABLANCA (STAR),"Barbier · 5 Rue Abou Zaid Addadoussi
Ouvert · Ferme à 22:00",Casablanca,0719914411026,+212719914411026,https://barberstarclub101.ma/reservation.php,4.8,732,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675572,google_maps
Royal barber agdal rabat,"Barbier ·  · Rue Tansift
Ouvert · Ferme à 22:00",Rabat,0666566085,+212666566085,,5.0,142,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675600,google_maps
Barber Shop Factory,"Barbier · 33°57'25.7""N 6°52'23.6""W
Ouvert · Ferme à 22:00",Rabat,0668688869,+212668688869,http://barbershopfactory.ma/,4.4,108,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675624,google_maps
Barber Yahia Vip Coiffeur Homme Rabat,"Barbier ·  · Rue Alboulboul, 1162
Ouvert · Ferme à 22:00",Rabat,0659814004,+212659814004,https://linktr.ee/barberyahia_vip,4.8,178,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675647,google_maps
Jouri barbershop,"Barbier · Rue El Fassi
Ouvert · Ferme à 23:30",Rabat,0550088920,0550088920,https://instagram.com/youssef.jouri?igshid=MzRlODBiNWFlZA==,4.9,350,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675663,google_maps
Barber shop YNS salon coiffure vip pour homme,"Salon de coiffure ·  · 366 E00M01, 445 Rue Al Hassoune
Ouvert · Ferme à 22:00",Rabat,0662626320,+212662626320,,4.7,235,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675675,google_maps
Space Coiff,"Salon de coiffure ·  · 40 Av. Patrice Lumumba
Ouvert · Ferme à 22:00",Rabat,0537201140,0537201140,https://linktr.ee/Space_Coiff,4.5,308,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675688,google_maps
Coiffure Anfa pour hommes barbershop,"Salon de coiffure ·  · 1001 Av. des Forces Armées Royales
Ouvert · Ferme à 22:00",Rabat,06600607224162,+2126600607224162,,4.4,94,,,90,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675699,google_maps
Gentleman Coiffure - Barbershop Agdal Rabat,"Salon de coiffure · 5 Rue Tansift
Ouvert · Ferme à 21:30",Rabat,07979688179534,+2127979688179534,http://www.facebook.com/pg/gentlemancoiffure,4.0,99,,,100,Barbershop,OPERATIONAL,2026-06-29T10:35:24.675712,google_maps
