name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvert · Ferme à 01:00",Casablanca,,,,4.7,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366430,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Ouvert · Ferme à 20:30",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366477,google_maps
The First Barbershop maarif,"Barbier · 8 Rue Abou Abbas Sebti
Ouvert · Ferme à 23:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366491,google_maps
The BarberShop - Casablanca,"Barbier ·  · Angle Avenue Ahmed Charci Et Ali Abderrazzak Résidence Pavillon D’or
Ouvert · Ferme à 22:00",Casablanca,,,,4.1,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366500,google_maps
The Premium Barbershop,"Barbier ·  · Résidence rio2, 62 Bd Abdellatif Ben Kaddour
Ouvert · Ferme à 01:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366511,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvert · Ferme à 22:00",Casablanca,,,,4.8,182,,,70,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366522,google_maps
Fade O’clock,"Salon de coiffure · 88Rue des Écoles
Ouvert · Ferme à 21:30",Casablanca,,,,4.9,73,,,70,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366530,google_maps
The BARBER SHOP - CASABLANCA (STAR),"Barbier · 5 Rue Abou Zaid Addadoussi
Ouvert · Ferme à 22:00",Casablanca,,,,4.8,732,,,70,Barbershop,OPERATIONAL,2026-06-29T09:20:52.366547,google_maps
