name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvert · Ferme à 01:00",Casablanca,0661625110,+212661625110,https://thepremiumbarbershop.ma/,4.7,,,,90,Barbershop,OPERATIONAL,2026-06-29T10:11:59.761934,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvert · Ferme à 22:00",Casablanca,0691994002,+212691994002,,4.8,182,,,90,Barbershop,OPERATIONAL,2026-06-29T10:11:59.761964,google_maps
