name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvert · Ferme à 01:00",Casablanca,,,,4.7,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:27:08.160602,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Ouvert · Ferme à 20:30",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:27:08.160634,google_maps
Barber Shop Star Club,"Salon de coiffure · 16 Bd Abdellatif Ben Kaddour
Ouvert · Ferme à 01:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:27:08.160648,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvert · Ferme à 22:00",Casablanca,,,,4.8,182,,,70,Barbershop,OPERATIONAL,2026-06-29T09:27:08.160660,google_maps
The Premium Barbershop,"Salon de coiffure ·  · Résidence rio2, 62 Bd Abdellatif Ben Kaddour
Ouvert · Ferme à 01:00",Casablanca,,,,4.8,382,,,70,Barbershop,OPERATIONAL,2026-06-29T09:27:08.160672,google_maps
