name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Fermé · Ouvre à 10:00",Casablanca,,,,4.7,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563236,google_maps
Barber shop casablanca COUPE KING ️ Barber shop Casablanca oulfa.The barbershop casablanca.La meilleure BarberShop,"Barbier · N, Sidi abderrahim quartier oulfa Rue 36 GH6
Ouvert · Ferme à 00:00",Casablanca,,,,4.7,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563302,google_maps
The Premium Barbershop,"Barbier ·  · Résidence rio2, 62 Bd Abdellatif Ben Kaddour
Fermé · Ouvre à 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563318,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Fermé · Ouvre à 10:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563336,google_maps
The First Barbershop maarif,"Barbier · 8 Rue Abou Abbas Sebti
Fermé · Ouvre à 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563345,google_maps
The BarberShop - Casablanca,"Barbier ·  · Angle Avenue Ahmed Charci Et Ali Abderrazzak Résidence Pavillon D’or
Fermé · Ouvre à 10:00",Casablanca,,,,4.1,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563353,google_maps
The barbershop-Casablanca,"Barbier ·  · etg m6, 4 rue charaf eddine ibn mata
Ouvert · Ferme à 23:00",Casablanca,,,,4.5,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563423,google_maps
Barber Shop Star Club,"Salon de coiffure · 16 Bd Abdellatif Ben Kaddour
Fermé · Ouvre à 10:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563452,google_maps
The BARBER SHOP - CASABLANCA (STAR),"Barbier · 5 Rue Abou Zaid Addadoussi
Fermé · Ouvre à 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563471,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Fermé · Ouvre à 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563480,google_maps
Fade O’clock,"Salon de coiffure · 88Rue des Écoles
Fermé · Ouvre à 10:00",Casablanca,,,,4.9,73,,,70,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563488,google_maps
Truman's Barbershop Casablanca - Coiffure Homme - Ain Diab,"Barbier · 62D Rue de la Mer Baltique
Fermé · Ouvre à 09:30 mar.",Casablanca,,,,4.9,87,,,70,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563496,google_maps
Breton Barbershop - coiffeur pour hommes et enfants,"Salon de coiffure · H972+6X9
Fermé · Ouvre à 10:30",Casablanca,,,,4.9,133,,,70,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563548,google_maps
Salon Le Mâle – Coiffure Homme Casablanca,"Barbier · 51, 53 Bd Oued Tensift
Fermé · Ouvre à 10:00",Casablanca,,,,5.0,144,,,70,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563560,google_maps
H&L Salon de Coiffure pour homme Casablanca,"Salon de coiffure · jamila 5 rue 67 n 19، Casablanca
Ouvert · Ferme à 23:00",Casablanca,,,,4.7,29,,,65,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563570,google_maps
Salon de Coiffure pour Hommes Casablanca Said,"Salon de coiffure ·  · Centre Ville, 18 Rue Gharnata
Ouvert · Ferme à 23:00",Casablanca,,,,4.4,16,,,62,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563579,google_maps
L'atelier de coiffure,"Salon de coiffure ·  · Maroc, Boulevard Bir Anzarane
Ouvre bientôt · 09:30",Casablanca,,,,4.7,323,,,70,Barbershop,OPERATIONAL,2026-06-29T08:11:50.563588,google_maps
